Userid,Most_popular_hashtag,Most_popular_post
10733526,risetogether,"My favorite time of year: playoff season! Running drills, staying focused, and recovering with @BuiltWithChocolateMilk. Don’t hate...re-hydrate. #RealWorks #ad"
1923491235,marchmadness,"It’s almost that time....I’m not looking at duke, I’m looking past you✌🏾.....WE READY!!!💪🏾#marchmadness #spartans #elite #final4"
300139600,trutoatl,End of Chapter 6
375417881,goat,Too many ppl don’t understand but Notre Dame is not just a building for us this is historic it’s on the same level as the Eiffel Tower smh 🤦🏽‍♂️ pray for it 🙏🏾! #Historic
8174195,str8up,Praying for my bro and his family Ishallah you have a speedy recovery.  #str8up
37867524,no hashtag within 30 days,no post within 30 days
24949656,detroitbasketball,"PLAYOFFS! 🦍🦍🦍
#DetroitBasketball 📸: @iamtailz"
6246343,no hashtag within 30 days,Chapter 15...
305609563,no hashtag within 30 days,no post within 30 days
3518326383,no hashtag within 30 days,no post within 30 days
36118956,no hashtag within 30 days,Ready for opening day!! ⚾️
13516273,ripnipthegreat,"😢 If you know me and follow me you know how i rocked with him. I Wasn’t super close with him, but was hella cool with him. great convo in OKC and great motivation and inspiration always. I’m blessed @russwest44 knew how i rocked with him and introduced me to the homie, foreal. 🙏🏾🙏🏾 #RipNipTheGreat"
218386695,nbaplayoffs,Boston ✈️ Indiana. Little fella lovin’ the new wheels ☘️ @amtourister @walmart
2031038549,no hashtag within 30 days,no post within 30 days
54752764,no hashtag within 30 days,🚀
