Player_id,Fullname,Username,Userid,Bio,Url,Posts,Followers,Following
2,Al Horford,alhorford,10733526,,https://www.youtube.com/watch?v=YiZUWssMzyg&feature=youtu.be,325,510623,265
4,Alan Anderson,dubblea74,1923491235,"Proud Father✊🏾
👨🏾‍🎓Michigan State Alumni
 Hustle + Muscle = Success!!!
❄️MN 🏁 Las VEGAS🕍
Business Owner",https://thecombinelasvegas.com/,80,5393,43
5,Alex Len,alexlen_21,300139600,"Ukraine ✈️Maryland ✈️Phoenix ✈️Atlanta   ""A moment of pain is worth a lifetime of glory""",,158,40824,1038
6,Alexis Ajinça,ajincaalexis,375417881,Frenchie 🇫🇷 🇬🇵9 years Center in the #NBA | Married to my gorgeous wife Courtney and Father of two beautiful sons. St Etienne /Charlotte/Nola,http://deluxmag.com/alexis-ajinca/,336,27333,509
7,Al-Farouq Aminu,chiefhasarrived,8174195,"You may not control all the events that happen to you, but you can decide not to be reduced by them. Maya Angelou.",http://aminugoodworks.org/,484,76761,213
8,,iamamirjohnson,37867524,,,549,200622,997
9,Andre Drummond,andredrummondd,24949656,"TAGOD ™
Jamal Booker ® 
👻Andredrummondd
Keep up with DaysWithDre⬇️",http://bit.ly/2INkHyR,295,1116933,384
10,Andre Iguodala,andre,6246343,🔺,https://www.amazon.com/Sixth-Man-Memoir-Andre-Iguodala/dp/0525533982,29,1739800,118
12,Andre Roberson,flydre21,305609563,#21 OKC     ...to be continued!,http://www.andreroberson21.com/,0,168945,558
13,Andrew Bogut,andrewbogut,3518326383,I don't use instagram.,http://andrewbogut.com/,0,26989,1
14,Anthony Davis,antdavis23,36118956,New Orleans Pelicans 🏀. From Chicago. Nat'l Champion. #BBN. Do you wanna be GOOD or do you wanna be GREAT? 🍕🍕🍕R.I.P BDJ #GBG,,353,3384968,744
15,Anthony Morrow,yungfresh,13516273,"9 Yr NBA vet. Owner of @ownsenseofstyle and @amocharities Blessed, Charlotte, NC Native, Daddy of 4 ❤️ God is Great. CoHost of ‘The Life’podcast’ ✊🏾",http://ownsenseofstyle.com/,4764,149391,6838
16,Aron Baynes,houseobayne,218386695,"Dual Olympian • Boston Celtic
🇦🇺☘️",,223,141546,349
17,Arron Afflalo,arronafflalo,2031038549,Straight Outta Compton…UCLA till I die💯,,12,4407,208
18,Austin Rivers,austinjrivers,54752764,M.o.a.M,,363,332568,403
20,Ben McLemore,b_mclemore23,29874123,"#NuffSaid
E-Mail all business inquiries to: ha@SultanGroup.tv",,353,323055,433
21,Bismack Biyombo,bismackbiyombo,573482256,LiVE TO SeRVe... 🇨🇩                    I am...,,209,111933,398
22,Blake Griffin,blakegriffin23,26867055,,http://bit.ly/Levis502Taper,132,3602001,272
23,Bojan Bogdanovic,44bojan,297672504,Snapchat: b.bojan44,,320,70979,19
24,Borisdiaw,diawboris,281835802,,https://youtu.be/4DyUvykS2Ys,398,257788,151
25,Bradley Beal,bradbeal3,180962639,"Twitter- @RealDealBeal23
SC: RealDealBeal23 b.O.b(built ON brotherhood)⚓️",http://bradleybeal.net/,340,931142,476
26,Brandon Bass,bestbetbass,365278709,,https://www.youtube.com/watch?v=8pRk_i2v6mk&feature=youtu.be,327,87999,245
27,Brandon Knight,brandonknight,19447170,TGBTG  -Kentucky alum - SoFla,http://brandoneknight.com/,308,157786,847
28,Brian Roberts,blroberts22,234952067,B. Roberts - Just trying to live life and do right....,,215,17578,357
31,Carlos Boozer,mrcbooz,246667855,"Follow My Journey
🐦: MisterCbooz
👻: MrCbooz                                                                                          🎙: HOLDAT PODCAST",https://twitter.com/i/events/1075461136600842242,2865,2533470,2017
32,Caron Butler,caronbutler,260910139,"Author |Investor |Analyst |Owner 
TuffJuice in stores now! 🙌
NBRPA Board Member Executive 
https://www.monumentalsportsnetwork.com/videos/caron-act-1",https://m.youtube.com/channel/UCPgwO9JrkeA9OVswQd-eleg,2702,385297,7499
33,ChandlerParsons,chandlerparsons,194141968,"6'10"" with a Ratchet",,646,515436,430
34,Channing Frye,channingfrye,21707908,👻 mrctf,http://rebrand.ly/h0mayu,975,313247,1092
