Player_id,Name,Age,Birth_place,Birthdate,Height,Weight,Position
1,Aaron Brooks,30,us,"January 14, 1985",180.0,72.45, G
2,Al Horford,29,do,"June 3, 1986",205.0,110.25, C
3,Al Jefferson,30,us,"January 4, 1985",205.0,130.05, C
4,Alan Anderson,33,us,"October 16, 1982",195.0,99.0, SG
5,Alex Len,22,ua,"June 16, 1993",212.5,117.0, C
6,Alexis Ajinca,27,fr,"May 6, 1988",215.0,111.6, C
7,Al-Farouq Aminu,25,us,"September 21, 1990",202.5,99.0, PF
8,Amir Johnson,28,us,"May 1, 1987",202.5,108.0, C
9,Andre Drummond,22,us,"August 10, 1993",207.5,125.55, C
10,Andre Iguodala,31,us,"January 28, 1984",195.0,96.75, SG
11,Andre Miller,39,us,"March 19, 1976",187.5,90.0, PG
12,Andre Roberson,24,us,"December 4, 1991",197.5,94.5, SG
13,Andrew Bogut,31,au,"November 28, 1984",210.0,117.0, C
14,Anthony Davis,22,us,"March 11, 1993",205.0,113.85, PF
15,Anthony Morrow,30,us,"September 27, 1985",192.5,94.5, SG
16,Aron Baynes,29,nz,"December 9, 1986",205.0,117.0, C
17,Arron Afflalo,30,us,"October 15, 1985",192.5,94.5, G
18,Austin Rivers,23,us,"August 1, 1992",190.0,90.0, PG
19,Avery Bradley,25,us,"November 26, 1990",185.0,81.0, SG
20,Ben McLemore,22,us,"February 11, 1993",192.5,87.75, G
21,Bismack Biyombo,23,cd,"August 28, 1992",202.5,114.75, C
22,Blake Griffin,26,us,"March 16, 1989",205.0,112.95, PF
23,Bojan Bogdanovic,26,ba,"April 18, 1989",200.0,97.2, SF
24,Boris Diaw,33,fr,"April 16, 1982",200.0,112.5, C
25,Bradley Beal,22,us,"June 28, 1993",192.5,93.15, SG
26,Brandon Bass,30,us,"April 30, 1985",200.0,112.5, PF
27,Brandon Knight,24,us,"December 2, 1991",187.5,85.05, PG
28,Brian Roberts,30,us,"December 3, 1985",182.5,77.85, PG
29,Brook Lopez,27,us,"April 1, 1988",210.0,123.75, C
30,Carl Landry,32,us,"September 19, 1983",202.5,111.6, PF
31,Carlos Boozer,34,de,"November 20, 1981",202.5,116.1, PF
32,Caron Butler,35,us,"March 13, 1980",197.5,102.6, SF
33,Chandler Parsons,27,us,"October 25, 1988",205.0,103.5, SF
34,Channing Frye,32,us,"May 17, 1983",207.5,114.75, PF
35,Chase Budinger,27,us,"May 22, 1988",197.5,94.05, SF
36,Chris Andersen,37,us,"July 7, 1978",205.0,110.25, PF
37,Chris Kaman,33,us,"April 28, 1982",210.0,119.25, C
38,Chris Paul,30,us,"May 6, 1985",180.0,78.75, PG
39,CJ McCollum,24,us,"September 19, 1991",190.0,90.0, SG
40,CJ Miles,28,us,"April 18, 1987",195.0,101.25, SF
41,Cole Aldrich,27,us,"October 31, 1988",207.5,112.5, C
42,Corey Brewer,29,us,"March 5, 1986",202.5,83.7, SG
43,Cory Joseph,24,ca,"August 20, 1991",187.5,86.85, PG
