id,Userid,tag1,tag2,tag3,tag4,tag5,Most_popular_post
0,10733526,risetogether,realworks,ad,,,"My favorite time of year: playoff season! Running drills, staying focused, and recovering with @BuiltWithChocolateMilk. Don’t hate...re-hydrate. #RealWorks #ad"
1,1923491235,marchmadness,bingo,family,nextgeneration,finalfour,"It’s almost that time....I’m not looking at duke, I’m looking past you✌🏾.....WE READY!!!💪🏾#marchmadness #spartans #elite #final4"
2,300139600,beststeakhousehandsdown,trutoatl,,,,End of Chapter 6
3,375417881,historic,5thmaster,goat,,,Too many ppl don’t understand but Notre Dame is not just a building for us this is historic it’s on the same level as the Eiffel Tower smh 🤦🏽‍♂️ pray for it 🙏🏾! #Historic
4,8174195,str8up,farouqisonfire,riprip,,,#farouqisonfire🔥🔥🔥 #str8up #riprip
5,37867524,,,,,,no post within 30 days
6,24949656,detroitbasketball,gameday,playoffpush,teamjbl,ad,"PLAYOFFS! 🦍🦍🦍
#DetroitBasketball 📸: @iamtailz"
7,6246343,,,,,,Chapter 15...
8,305609563,,,,,,no post within 30 days
9,3518326383,,,,,,no post within 30 days
10,36118956,,,,,,Ready for opening day!! ⚾️
11,13516273,ripnipthegreat,ownit,tmc,charlotte,tbt,"😢 If you know me and follow me you know how i rocked with him. I Wasn’t super close with him, but was hella cool with him. great convo in OKC and great motivation and inspiration always. I’m blessed @russwest44 knew how i rocked with him and introduced me to the homie, foreal. 🙏🏾🙏🏾 #RipNipTheGreat"
12,218386695,risetogether,nbaplayoffs,,,,Boston ✈️ Indiana. Little fella lovin’ the new wheels ☘️ @amtourister @walmart
13,2031038549,,,,,,no post within 30 days
14,54752764,,,,,,🚀
15,29874123,airforce1,girbauds,whitetallt,,,🤰🏽Baby # 2 😊 Filled with so much emotion!!! TeamMcLemore
16,573482256,glorytogod,prayformozambique,,,,Don’t do it.... just don’t do it 😂😂😂😂
17,26867055,detroitbasketball,,,,,"detroit, not how we wanted it to end but i wanted to say thank you for the support all season long. this year was just the beginning for us. we will continue to lay the foundation to bring this franchise back to where it belongs. you all were incredible and showed up in a big big way when we needed you the most. thank you for embracing me and our team. can’t wait to get back to work #detroitbasketball"
18,297672504,golddontquit,sretnanovagodina,babayaro,,,Brotherhood 🔸🔹 #golddontquit #sretnanovagodina #babayaro
19,281835802,retirement,,,,,"One last game day lunch tradition,
Going to miss those....
Prepare the kleenex manu 😢😢😢
#retirement"
20,180962639,menhaveskintoo,availableattarget,sponsoredobviously,3,everybodyeats,Dreams to Reality! 🙏🏽
21,365278709,tmc,marathoncontinues,,,,🏀🏁
22,19447170,tgbtg,iwwtr,blessed,,,"Perspective 
#TGBTG
#IWWTR
#BLESSED"
23,234952067,happyeaster,,,,,🙌🏽🙌🏽🙌🏽 #happyeaster
24,246667855,holdat,nbatwitterlive,boozerbasketballcamp,thestarters,nbatv,Hangin Wit My #nbatwitterlive Crew!!! Watch Us Live 2nd Half Of Both TNT Games!!! #squad #nbaontnt #playoffs #holdat 📸: @the_morgann 👩🏽‍🎨: @1bellanoel
25,260910139,legacy,onelastdance,respect,sunday,reform,"“Seeing Is Believing “
As we tackle issues about mass incarceration and more it’s paramount these stories be told.
#ReForm
#Truth
What’s real can never be threatened 💯 @deadline"
26,194141968,,,,,,"from my role model, to my good friend. appreciate you Dirty!!"
27,21707908,,,,,,Man! My guys it’s been a amazing ride! Last road game ever. Mixed emotions but most of them good. I’m humbled by the opportunity to have done this and battled against the best at their best. I’m gonna miss my coaches n teammates (except for @kevinlove because he’s watching me write this) thanks for the boos and the cheers. Lastly does anyone need their cloths washed because my abs was poppin!
28,317260068,,,,,,no post within 30 days
29,487992589,,,,,,no post within 30 days
30,184644748,unfinishedbusiness,thegamelovesyou,brotherhood,biggerthanbasketball,onelastdance,"What a career!! Congratulations my brother, the best is yet to come ✊🏾 #Brotherhood #BiggerThanBasketball #OneLastDance"
31,190420048,ripcity,sharkmentality,liningfamily,marathonmentality,menhaveskintoo,👀
32,7413397,repost,,,,,"#Repost @iamlaurenmiles with @get_repost
・・・
Happy Resurrection Sunday! ✝️🌟"
