Player_id,Fullname,Username,Userid,Bio,Url,Posts,Followers,Following
2,Al Horford,alhorford,10733526,,https://www.youtube.com/watch?v=YiZUWssMzyg&feature=youtu.be,325,510950,268
4,Alan Anderson,dubblea74,1923491235,"Proud Father✊🏾
👨🏾‍🎓Michigan State Alumni
 Hustle + Muscle = Success!!!
❄️MN 🏁 Las VEGAS🕍
Business Owner",https://thecombinelasvegas.com/,80,5394,43
5,Alex Len,alexlen_21,300139600,"Ukraine ✈️Maryland ✈️Phoenix ✈️Atlanta   ""A moment of pain is worth a lifetime of glory""",,160,40800,1046
6,Alexis Ajinça,ajincaalexis,375417881,Frenchie 🇫🇷 🇬🇵9 years Center in the #NBA | Married to my gorgeous wife Courtney and Father of two beautiful sons. St Etienne /Charlotte/Nola,http://deluxmag.com/alexis-ajinca/,336,27331,511
7,Al-Farouq Aminu,chiefhasarrived,8174195,"You may not control all the events that happen to you, but you can decide not to be reduced by them. Maya Angelou.",http://aminugoodworks.org/,485,77757,213
8,,iamamirjohnson,37867524,,,549,200674,996
9,Andre Drummond,andredrummondd,24949656,"TAGOD ™
Jamal Booker ® 
👻Andredrummondd
Keep up with DaysWithDre⬇️",http://bit.ly/2INkHyR,296,1116822,385
10,Andre Iguodala,andre,6246343,🔺,https://www.amazon.com/Sixth-Man-Memoir-Andre-Iguodala/dp/0525533982,29,1738900,118
12,Andre Roberson,flydre21,305609563,#21 OKC     ...to be continued!,http://www.andreroberson21.com/,0,168798,558
13,Andrew Bogut,andrewbogut,3518326383,I don't use instagram.,http://andrewbogut.com/,0,27084,1
14,Anthony Davis,antdavis23,36118956,New Orleans Pelicans 🏀. From Chicago. Nat'l Champion. #BBN. Do you wanna be GOOD or do you wanna be GREAT? 🍕🍕🍕R.I.P BDJ #GBG,,353,3383220,744
15,Anthony Morrow,yungfresh,13516273,"9 Yr NBA vet. Owner of @ownsenseofstyle and @amocharities Blessed, Charlotte, NC Native, Daddy of 4 ❤️ God is Great. CoHost of ‘The Life’podcast’ ✊🏾",http://ownsenseofstyle.com/,4764,149399,6843
16,Aron Baynes,houseobayne,218386695,"Dual Olympian • Boston Celtic
🇦🇺☘️",,223,142370,349
17,Arron Afflalo,arronafflalo,2031038549,Straight Outta Compton…UCLA till I die💯,,12,4408,208
18,Austin Rivers,austinjrivers,54752764,M.o.a.M,,363,332962,404
20,Ben McLemore,b_mclemore23,29874123,"#NuffSaid
E-Mail all business inquiries to: ha@SultanGroup.tv",,353,322875,442
21,Bismack Biyombo,bismackbiyombo,573482256,LiVE TO SeRVe... 🇨🇩                    I am...,,210,111904,411
22,Blake Griffin,blakegriffin23,26867055,,http://bit.ly/Levis502Taper,133,3605726,273
23,Bojan Bogdanovic,44bojan,297672504,Snapchat: b.bojan44,,320,70994,19
24,Borisdiaw,diawboris,281835802,,https://youtu.be/4DyUvykS2Ys,398,257748,152
25,Bradley Beal,bradbeal3,180962639,"Twitter- @RealDealBeal23
SC: RealDealBeal23 b.O.b(built ON brotherhood)⚓️",http://bradleybeal.net/,340,932019,477
26,Brandon Bass,bestbetbass,365278709,,https://www.youtube.com/watch?v=8pRk_i2v6mk&feature=youtu.be,328,87869,245
27,Brandon Knight,brandonknight,19447170,TGBTG  -Kentucky alum - SoFla,http://brandoneknight.com/,308,157713,846
28,Brian Roberts,blroberts22,234952067,B. Roberts - Just trying to live life and do right....,,215,17553,357
31,Carlos Boozer,mrcbooz,246667855,"Follow My Journey
🐦: MisterCbooz
👻: MrCbooz                                                                                          🎙: HOLDAT PODCAST",http://carlosboozerbasketballcamp.com/,2867,2553602,2016
32,Caron Butler,caronbutler,260910139,"Author |Investor |Analyst |Owner 
TuffJuice in stores now! 🙌
NBRPA Board Member Executive 
https://www.monumentalsportsnetwork.com/videos/caron-act-1",https://m.youtube.com/channel/UCPgwO9JrkeA9OVswQd-eleg,2703,385657,7498
33,ChandlerParsons,chandlerparsons,194141968,"6'10"" with a Ratchet",,646,515466,430
34,Channing Frye,channingfrye,21707908,👻 mrctf,http://rebrand.ly/h0mayu,976,313252,1098
35,Chase Budinger,budinger10,317260068,"◼ 7 year NBA veteran
◼ Professional Beach Volleyball Player🇺🇸",https://youtu.be/yJQ7CiCkvY4,251,6432,201
36,Chris Andersen,chrisbirdmanandersen,487992589,Fan Page,,364,11428,19
