Player_id,Name,ig_username
2,Al Horford,alhorford
4,Alan Anderson,dubblea74
5,Alex Len,alexlen_21
6,Alexis Ajinca,ajincaalexis
7,Al-Farouq Aminu,chiefhasarrived
8,Amir Johnson,iamamirjohnson
9,Andre Drummond,andredrummondd
10,Andre Iguodala,andre
12,Andre Roberson,flydre21
13,Andrew Bogut,andrewbogut
14,Anthony Davis,antdavis23
15,Anthony Morrow,yungfresh
16,Aron Baynes,houseobayne
17,Arron Afflalo,arronafflalo
18,Austin Rivers,austinjrivers
19,Avery Bradley,itsaverybradley
20,Ben McLemore,b_mclemore23
21,Bismack Biyombo,bismackbiyombo
22,Blake Griffin,blakegriffin23
23,Bojan Bogdanovic,44bojan
24,Boris Diaw,diawboris
25,Bradley Beal,bradbeal3
26,Brandon Bass,bestbetbass
27,Brandon Knight,brandonknight
28,Brian Roberts,blroberts22
31,Carlos Boozer,mrcbooz
32,Caron Butler,caronbutler
33,Chandler Parsons,chandlerparsons
34,Channing Frye,channingfrye
35,Chase Budinger,budinger10
36,Chris Andersen,chrisbirdmanandersen
38,Chris Paul,cp3
39,CJ McCollum,3jmccollum
40,CJ Miles,masfresco
41,Cole Aldrich,colea45
42,Corey Brewer,thecoreybrewer
43,Cory Joseph,coryjoseph
44,Courtney Lee,courtneylee
45,D.J. Augustin,djaugustin
46,Damian Lillard,damianlillard
47,Damjan Rudez,damorudez9
48,Danilo Gallinari,danilogallogallinari
49,Danny Green,greenranger14
50,Dante Cunningham,dlamarc33
51,Dante Exum,daanteee
52,Darrell Arthur,d_arthur00
53,David West,realdwest30
54,DeAndre Jordan,deandre
55,DeMar DeRozan,demar_derozan
56,DeMarcus Cousins,boogiecousins
57,DeMarre Carroll,demarrecarroll1
59,Derrick Favors,_dfavors15
60,Devin Harris,devinharris34
61,Dewayne Dedmon,d_dedmon3
62,Dirk Nowitzki,swish41
63,Donatas Motiejunas,donatas_motiejunas
64,Draymond Green,money23green
65,Ed Davis,eddavisxvii
66,Elfrid Payton,elfridpayton4
67,Enes Kanter,eneskanter11
68,Eric Bledsoe,thebledshow
