Player_id,Name,Age,Birth_place,Birthdate,Height,Weight,Position
1,AJ Price,29.0,us,"October 7, 1986",185.0,81.45,PG
2,Aaron Brooks,30.0,us,"January 14, 1985",180.0,72.45,PG
3,Aaron Gordon,20.0,us,"September 16, 1995",202.5,99.0,PF
4,Adreian Payne,24.0,us,"February 19, 1991",205.0,106.65,PF
5,Al Horford,29.0,do,"June 3, 1986",205.0,110.25,C
6,Al Jefferson,30.0,us,"January 4, 1985",205.0,130.05,C
7,Alan Anderson,33.0,us,"October 16, 1982",195.0,99.0,SG
8,Alec Burks,24.0,us,"July 20, 1991",195.0,96.3,SG
9,Alex Kirk,24.0,us,"November 14, 1991",210.0,110.25,C
10,Alex Len,22.0,ua,"June 16, 1993",212.5,117.0,C
11,Alexey Shved,27.0,ru,"December 16, 1988",195.0,85.5,SG
12,Alexis Ajinca,27.0,fr,"May 6, 1988",215.0,111.6,C
13,Al-Farouq Aminu,25.0,us,"September 21, 1990",202.5,99.0,SF
14,Allen Crabbe,23.0,us,"April 9, 1992",195.0,94.5,SG
15,Alonzo Gee,28.0,us,"May 29, 1987",195.0,101.25,SF
16,Amar'e Stoudemire,,,,,,
17,Amir Johnson,28.0,us,"May 1, 1987",202.5,108.0,PF
18,Anderson Varejao,,,,,,
19,Andre Dawkins,24.0,us,"September 19, 1991",192.5,96.75,SG
20,Andre Drummond,22.0,us,"August 10, 1993",207.5,125.55,C
21,Andre Iguodala,31.0,us,"January 28, 1984",195.0,96.75,SF
22,Andre Miller,39.0,us,"March 19, 1976",187.5,90.0,PG
23,Andre Roberson,24.0,us,"December 4, 1991",197.5,94.5,SG
24,Andrea Bargnani,30.0,it,"October 26, 1985",210.0,110.25,C
25,Andrei Kirilenko,34.0,ru,"February 18, 1981",202.5,99.0,SF
26,Andrew Bogut,31.0,au,"November 28, 1984",210.0,117.0,C
27,Andrew Nicholson,26.0,ca,"December 8, 1989",202.5,112.5,PF
28,Andrew Wiggins,,,,,,
29,Anthony Bennett,22.0,ca,"March 14, 1993",200.0,110.25,PF
30,Anthony Davis,22.0,us,"March 11, 1993",205.0,113.85,PF
31,Anthony Morrow,30.0,us,"September 27, 1985",192.5,94.5,SG
32,Anthony Tolliver,,,,,,
33,Archie Goodwin,21.0,us,"August 17, 1994",192.5,90.0,SG
34,Arinze Onuaku,28.0,us,"July 13, 1987",202.5,114.75,C
35,Aron Baynes,29.0,nz,"December 9, 1986",205.0,117.0,C
36,Arron Afflalo,30.0,us,"October 15, 1985",192.5,94.5,SG
37,Austin Daye,27.0,us,"June 5, 1988",207.5,99.0,SF
38,Austin Rivers,23.0,us,"August 1, 1992",190.0,90.0,SG
39,Avery Bradley,25.0,us,"November 26, 1990",185.0,81.0,SG
40,Ben Gordon,32.0,gb,"April 4, 1983",187.5,90.0,SG
41,Ben McLemore,22.0,us,"February 11, 1993",192.5,87.75,SG
42,Beno Udrih,,,,,,
43,Bernard James,30.0,us,"February 7, 1985",205.0,108.0,C
44,Bismack Biyombo,23.0,cd,"August 28, 1992",202.5,114.75,C
45,Blake Griffin,26.0,us,"March 16, 1989",205.0,112.95,PF
46,Bojan Bogdanovic,26.0,ba,"April 18, 1989",200.0,97.2,SF
47,Boris Diaw,33.0,fr,"April 16, 1982",200.0,112.5,PF
48,Bradley Beal,22.0,us,"June 28, 1993",192.5,93.15,SG
49,Brandan Wright,,,,,,
50,Brandon Bass,30.0,us,"April 30, 1985",200.0,112.5,PF
51,Brandon Davies,24.0,us,"July 25, 1991",205.0,108.0,PF
52,Brandon Jennings,26.0,us,"September 23, 1989",182.5,76.5,PG
53,Brandon Knight,24.0,us,"December 2, 1991",187.5,85.05,SG
54,Brandon Rush,30.0,us,"July 7, 1985",195.0,99.0,SG
55,Brendan Haywood,36.0,us,"November 27, 1979",210.0,120.6,C
56,Brian Roberts,30.0,us,"December 3, 1985",182.5,77.85,PG
57,Brook Lopez,27.0,us,"April 1, 1988",210.0,123.75,C
58,Bruno Caboclo,20.0,br,"September 21, 1995",202.5,98.1,SF
59,Bryce Cotton,23.0,us,"August 11, 1992",182.5,74.25,PG
60,C.J. Watson,31.0,us,"April 17, 1984",185.0,78.75,PG
61,Cameron Bairstow,25.0,au,"December 7, 1990",202.5,112.5,PF
62,Carl Landry,32.0,us,"September 19, 1983",202.5,111.6,PF
63,Carlos Boozer,34.0,de,"November 20, 1981",202.5,116.1,PF
64,Carmelo Anthony,31.0,us,"May 29, 1984",200.0,108.0,SF
65,Caron Butler,35.0,us,"March 13, 1980",197.5,102.6,SF
66,Cartier Martin,31.0,us,"November 20, 1984",197.5,99.0,SF
67,Chandler Parsons,27.0,us,"October 25, 1988",205.0,103.5,SF
68,Channing Frye,32.0,us,"May 17, 1983",207.5,114.75,PF
69,Charlie Villanueva,,,,,,
70,Chase Budinger,27.0,us,"May 22, 1988",197.5,94.05,SF
71,Chris Andersen,37.0,us,"July 7, 1978",205.0,110.25,C
72,Chris Bosh,31.0,us,"March 24, 1984",207.5,105.75,C
73,Chris Copeland,31.0,us,"March 17, 1984",202.5,107.55,SF
74,Chris Douglas-Roberts,28.0,us,"January 8, 1987",197.5,90.0,SG
75,Chris Johnson,25.0,us,"April 29, 1990",195.0,92.7,SF
76,Chris Kaman,33.0,us,"April 28, 1982",210.0,119.25,C
77,Chris Paul,30.0,us,"May 6, 1985",180.0,78.75,PG
78,Chuck Hayes,32.0,us,"June 11, 1983",195.0,108.0,C
79,CJ McCollum,24.0,us,"September 19, 1991",190.0,90.0,SG
80,CJ Miles,28.0,us,"April 18, 1987",195.0,101.25,SG
81,CJ Wilcox,,,,,,
82,Cleanthony Early,24.0,us,"April 17, 1991",200.0,94.5,SF
83,Clint Capela,21.0,ch,"May 18, 1994",205.0,108.0,C
84,Cody Zeller,,,,,,
85,Cole Aldrich,27.0,us,"October 31, 1988",207.5,112.5,C
86,Corey Brewer,29.0,us,"March 5, 1986",202.5,83.7,SF
87,Cory Jefferson,25.0,us,"December 26, 1990",202.5,98.1,PF
88,Cory Joseph,24.0,ca,"August 20, 1991",187.5,86.85,PG
89,Courtney Lee,30.0,us,"October 3, 1985",192.5,90.0,SG
90,D.J. Augustin,28.0,us,"November 10, 1987",180.0,82.35,PG
91,Dahntay Jones,35.0,us,"December 27, 1980",195.0,101.25,SF
92,Damian Lillard,25.0,us,"July 15, 1990",187.5,87.75,PG
93,Damjan Rudez,29.0,hr,"June 17, 1986",205.0,102.6,SF
94,Danilo Gallinari,27.0,it,"August 8, 1988",205.0,101.25,SF
95,Danny Granger,32.0,us,"April 20, 1983",202.5,99.9,SF
96,Danny Green,28.0,us,"June 22, 1987",195.0,96.75,SG
97,Dante Cunningham,28.0,us,"April 22, 1987",200.0,103.5,PF
98,Dante Exum,20.0,au,"July 13, 1995",195.0,85.5,PG
99,Darius Miller,25.0,us,"March 21, 1990",200.0,105.75,SF
100,Darius Morris,24.0,us,"January 3, 1991",190.0,85.5,PG
101,Darrell Arthur,27.0,us,"March 25, 1988",202.5,105.75,PF
102,Darren Collison,28.0,us,"August 23, 1987",180.0,78.75,PG
103,David Lee,32.0,us,"April 29, 1983",202.5,110.25,PF
104,David Stockton,24.0,us,"June 24, 1991",177.5,74.25,PG
105,David Wear,,,,,,
106,David West,35.0,us,"August 29, 1980",202.5,112.5,PF
107,DeAndre Jordan,27.0,us,"July 21, 1988",207.5,119.25,C
108,DeJuan Blair,26.0,us,"April 22, 1989",197.5,121.5,PF
109,DeMar DeRozan,26.0,us,"August 7, 1989",197.5,99.45,SG
110,DeMarcus Cousins,25.0,us,"August 13, 1990",207.5,121.5,C
111,DeMarre Carroll,29.0,us,"July 27, 1986",200.0,96.75,SF
112,Dennis Schroder,22.0,de,"September 15, 1993",182.5,77.4,PG
113,Deron Williams,,,,,,
114,Derrick Favors,24.0,us,"July 15, 1991",205.0,119.25,PF
115,Derrick Rose,27.0,us,"October 4, 1988",187.5,85.5,PG
116,Derrick Williams,,,,,,
117,Devin Harris,32.0,us,"February 27, 1983",187.5,86.4,PG
118,Devyn Marble,23.0,us,"September 21, 1992",195.0,90.0,SG
119,Dewayne Dedmon,26.0,us,"August 12, 1989",210.0,110.25,C
120,Dion Waiters,,,,,,
121,Dirk Nowitzki,37.0,de,"June 19, 1978",210.0,110.25,PF
122,Donald Sloan,27.0,us,"January 15, 1988",187.5,92.25,PG
123,Donatas Motiejunas,25.0,lt,"September 20, 1990",210.0,99.9,PF
124,Dorell Wright,,,,,,
125,Doug McDermott,23.0,us,"January 3, 1992",200.0,101.25,SF
126,Draymond Green,25.0,us,"March 4, 1990",197.5,103.5,PF
127,Drew Gooden,34.0,us,"September 24, 1981",205.0,112.5,PF
128,Drew Gordon,25.0,us,"July 12, 1990",202.5,110.25,PF
