Player_id,Team_id,PTS,RPG,AST,STL,BLK,TOV
2,5,5.0,1.1,1.9,0.4,0.1,1.0
3,3,12.7,5.1,1.9,0.8,0.5,1.1
5,26,14.0,6.8,5.0,0.8,1.3,1.7
6,5,8.1,4.2,0.9,0.3,0.2,0.5
10,24,8.0,6.6,0.6,0.5,1.3,1.3
13,14,8.7,7.4,1.6,1.0,0.7,1.5
14,14,10.7,2.9,1.2,0.7,0.3,0.8
17,26,6.5,4.6,1.8,0.6,0.8,1.0
20,12,13.6,13.8,1.1,1.5,1.1,1.9
21,15,7.6,4.0,3.4,1.0,0.5,0.8
23,8,6.6,5.1,1.0,1.2,1.0,0.6
30,19,28.0,11.8,2.1,1.3,2.2,2.4
35,12,4.9,4.4,0.4,0.2,0.5,0.7
36,11,8.4,2.0,1.3,0.3,0.1,0.7
38,21,12.0,2.2,2.8,0.6,0.1,1.6
41,11,8.1,2.1,0.8,0.5,0.1,1.0
44,3,6.0,7.0,0.9,0.3,1.1,1.2
45,21,21.6,8.1,4.9,0.9,0.4,2.3
46,7,13.7,3.4,1.4,0.4,0.1,1.6
47,29,4.6,2.2,2.3,0.2,0.1,1.2
48,7,23.1,3.1,3.5,1.1,0.3,2.0
52,7,7.1,2.4,4.9,0.9,0.0,1.6
57,6,20.5,5.4,2.3,0.5,1.7,2.5
60,3,4.5,1.4,1.8,0.7,0.0,0.8
64,13,22.4,5.9,2.9,0.8,0.5,2.1
68,17,9.1,3.9,0.6,0.4,0.5,0.7
77,21,18.1,5.0,9.2,2.0,0.1,2.4
79,14,23.0,3.6,3.6,0.9,0.5,2.2
80,5,10.7,3.0,0.6,0.6,0.3,0.5
83,27,12.6,8.1,1.0,0.5,1.2,1.3
85,25,1.7,2.5,0.4,0.4,0.4,0.3
86,22,4.5,2.0,1.2,0.7,0.2,0.7
88,18,9.3,2.9,3.3,0.8,0.2,1.4
89,13,10.8,3.4,2.3,1.1,0.3,0.9
90,3,7.9,1.5,2.7,0.4,0.0,1.2
92,14,27.0,4.9,5.9,0.9,0.3,2.6
94,16,18.2,5.2,2.1,0.6,0.2,1.3
96,4,7.3,3.3,1.8,1.0,0.8,1.1
97,19,6.6,4.2,0.6,0.6,0.4,0.4
98,29,6.2,2.0,1.7,0.3,0.2,1.2
102,11,13.2,2.2,4.6,1.0,0.1,1.7
103,4,7.3,5.6,1.6,0.4,0.5,1.0
106,15,4.6,3.0,2.2,0.6,0.7,1.1
107,21,12.7,13.8,1.2,0.6,1.7,1.4
109,18,27.3,5.2,3.9,1.1,0.2,2.4
110,19,27.0,11.0,4.6,1.4,1.3,3.7
111,18,8.9,3.8,1.0,1.1,0.4,0.8
112,23,17.9,3.1,6.3,0.9,0.2,3.3
115,13,18.0,3.8,4.4,0.7,0.3,2.3
117,2,6.7,2.0,2.1,0.7,0.1,0.9
119,4,5.1,6.5,0.6,0.5,0.8,0.8
125,8,9.0,2.7,0.9,0.2,0.1,0.6
126,15,10.2,7.9,7.0,2.0,1.4,2.4
130,23,13.5,12.7,1.4,0.9,1.2,2.3
