,userid,mostPopHashtag1,mostPopHashtag2,mostPopHashtag3,mostPopHashtag4,mostPopHashtag5,mostPopPost
0,37692305,GoDucks,ScoDucks,whereiroot,TrueToTheBlue,DRoseDoc,['Hold your heads high tonight. You left it on the floor and made duck nation proud. #GoDucks @OregonMBB']
1,614024492,ButterDunks,PureMagic,DunkContest,HowYouLobsterfest,ad,['Lol cuz whoever get the ball has to make one more pass!! https://t.co/RQHaqndU4k']
2,78193153,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,['Congrats Pats!!!!____________']
3,466852270,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,[]
4,1067020626,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,[]
5,135323628,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,[]
6,1334787901,________‰∫,WE,B___,AHEAD,GETAHEAD,['Japan vs USA!!!!! Let__ go @dydk24 @babaseyo @joji']
7,1538825629,________‰∫,WE,B___,AHEAD,GETAHEAD,[]
8,416120361,________‰∫,WE,B___,AHEAD,GETAHEAD,[]
9,855247687,InternationalWomensDay,NBAGLeague,LDLCASVEL,LeadersCup,TeamAsvel,['Nous partons pour @DisneylandParis  \n#LDLCASVEL #LeadersCup #TeamAsvel']
10,76809678,InternationalWomensDay,NBAGLeague,LDLCASVEL,LeadersCup,TeamAsvel,[]
11,25100180,4TheLoveOfTheGame,WatchYourHead,Art,2pacVoice,NIP,"['I hope y__ll didn__ think I was done dunking on folks. ___#4TheLoveOfTheGame #WatchYourHead @ Jerusalem, Israel https://t.co/jxtoNTLEzM']"
12,130939593,4TheLoveOfTheGame,WatchYourHead,Art,2pacVoice,NIP,[]
13,372525649,tbt,Repost,ThisIsMyHouse,SuperBowlNaESPN,esperanca,['Estou desnorteado... Meus sentimentos _s fam√≠lias desses meninos que nos deixaram hoje nessa trag√©dia hoje no Ninho_ https://t.co/teCAabnbg0']
14,244800486,DetroitBasketball,NBA,Peace,NBAPlayoffs,paulcorvino,['_____ https://t.co/nNErjbZ5kT']
