,Post_Id,Userid,Time,Caption,Likes,Name,Comments
0,1.12E+18,37692305,2019/4/24 21:49,Thank you @RealKingFelix for another great outing.,0,Thirty2zero,@Thirty2zero @RealKingFelix We all want to see more of that.
1,1.12E+18,614024492,2019/4/24 8:51,RT @xtraGORDONary32: @Dame_Lillard you collllld bro,0,Double0AG,No comments
2,1.12E+18,380051568,2019/4/8 21:23,RT @KyleKorver: I've been trying to write this for a while. https://t.co/Qkt8aoVtdE,0,Adreian_Payne,No comments
3,1.12E+18,78193153,2019/4/21 20:34,Go Celtics!!! #RiseTogether,6550,Al_Horford,No comments
4,1.12E+18,1334787901,2019/4/24 14:58,RT @ALVARK_TOKYO: @babaseyo _ @kingkirk53 https://t.co/4tGTfUEtXl,0,kingkirk53,No comments
5,1.12E+18,855247687,2019/4/14 4:28,RT @dereklcopeland: Great event today hosted by @MrAnthonyMorrow talking about __ood Fathers_! Lot of wisdom and laughs shared by @Jonathan_,0,AjincaAlexis42,No comments
6,1.11E+18,373677327,2019/3/26 22:08,"RT @CloseUp360: In Year 1 with the Nets, Allen Crabbe set a franchise record for 3s. Now in Year 2, Allen has helped BK compete for a playo_",0,allencrabbe,No comments
7,1.12E+18,232438705,2019/4/20 16:10,"RT @BleacherReport: This whiteboard @DwyaneWade mural is unbelievable.

(via jcoreyartist/IG) https://t.co/rN08cJPnup",0,GeeAlonzo,No comments
8,1.12E+18,25100180,2019/4/22 2:49,"Great times with family _____ï¸ @ Miami Beach, Florida https://t.co/LWO1knrQY6",16,Amareisreal,@Amareisreal Hi Amar'e. I help African Torah Communities.  I'd love to tell you about them.
9,1.12E+18,372525649,2019/4/20 21:15,https://t.co/gl2O6zLKlb https://t.co/Xm23dB5amy,200,VAREJAOANDERSON,@VAREJAOANDERSON Vamos Ser campeÃ£o Vamos Flamengo minha maior paixÃ£o basquete orgulho da naÃ§Ã£o vlw VarejÃ£o
10,1.12E+18,244800486,2019/4/19 19:58,RT @HammerFox2: Class Act  @AndreDrummond agreed to donate to @DETBoxingGym for Every retweet of this photo. #Peace https://t.co/f6HMFXDzJs,0,AndreDrummond,No comments
11,1.12E+18,331283041,2019/4/19 18:23,Glad @united got the kids form @bgcsf &amp; @hiddengeniuspro out to watch @warriors playoff game https://t.co/JcPUFiv5NE,1119,andre,@andre @warriors @united @BGCSF @HiddenGeniusPro Were those tickets to the one you lost?
12,1.12E+18,165152266,2019/4/23 15:03,RT @LmKunda: Nipsey Hussle - Everybody operates off logic and what__ good for them at the present time rather than heart &amp; that creates opp_,0,FlyDre21,No comments
13,1.12E+18,620474224,2019/4/24 19:00,"Aldridge: Andrei Kirilenko will opt-in, stay with the Nets in 2014-15 - NetsDaily https://t.co/T7tP7Dsoan",0,AndrKirilenko,No comments
14,1.12E+18,1036325418,2019/4/24 5:01,Wtf ______ #NBAPlayoffs,1291,andrewbogut,@andrewbogut 50
15,1.10E+18,439779382,2019/2/20 7:30,@Sergetacular __,3,nicholaf44,No comments
16,1.12E+18,231209225,2019/4/21 22:04,Congratulations @BrookeHenderson on winning the LPGA Lotte Championship Back 2 Back Years!     ________,225,22wiggins,No comments
17,1.11E+18,159113258,2019/3/18 17:17,Let__ Go Kentucky! Who you got in the tournament? #BBN #MarchMadness https://t.co/sT5ke3IhDC,6464,AntDavis23,No comments
18,1.12E+18,82302496,2019/4/24 19:09,"RT @_LLCoolAye: Out of all the niggas you wanna try to rob, you wanna try Bun B. You clearly don__ care about your life because this man di_",0,MrAnthonyMorrow,No comments
19,1.12E+18,176326208,2019/4/24 5:02,Bro that might be the COLDEST game winner I__e ever seen ______ Dame is an absolute MONSTER!,267,ATolliver44,@ATolliver44 __ facts
20,1.10E+18,142138363,2019/3/9 7:46,RT @TheRealTimPremo: @edeven23 @_J_Flynn @paulharris11 @RealKrisJo @scoopjardine @arinze_onuaku @JakePresutti This is easily the most __ mix_,0,arinze_onuaku,No comments
21,1.12E+18,55075301,2019/4/24 19:09,"RT @_LLCoolAye: Out of all the niggas you wanna try to rob, you wanna try Bun B. You clearly don__ care about your life because this man di_",0,MrAnthonyMorrow,No comments
22,1.12E+18,156521166,2019/4/24 4:19,Dame Time _______ smh he really in video game mode!!,7,Adaye5,No comments
23,1.11E+18,364970961,2019/3/25 21:24,__________ appreciate it big homie!! https://t.co/I5WTGCNTuG,398,AustinRivers25,No comments
24,1.10E+18,2155045712,2019/2/28 7:28,@Ridiculousness is one of my favorite shows ______,1,BenMcLemore,No comments
25,1.12E+18,273532957,2019/4/24 6:11,This dude is something else!!! https://t.co/IgUjduuLdT,23,BenoUdrih1,No comments
26,1.12E+18,34430522,2019/4/24 5:07,Well how do you guard that.... good night I guess!!,93,bismackbiyombo,No comments
27,1.12E+18,205441601,2019/4/23 20:52,"detroit, not how we wanted it to end but i wanted to say thank you for the support all season long. this year was j_ https://t.co/occCvBfvhg",15714,blakegriffin23,No comments
28,1.12E+18,153307097,2019/4/17 5:02,"Thank you for all the messages today. 
Cheers to you all @ Bryce Canyon City, Utah https://t.co/WRfCRjjTCW",101,theborisdiaw,No comments
29,1.12E+18,270712565,2019/4/24 19:30,RT @DCYellowCab: @WashingtonWizz #BradleyBeal @DCYellowCab https://t.co/LkPNwLTtqS,0,RealDealBeal23,No comments
30,1.10E+18,9.49E+17,2019/2/19 19:58,RT @swish41: Not that it bothers me cuz I heard it too many times but is it cool for parents to point at me and tell their kids: look how t_,0,bwright34,No comments
31,1.12E+18,48477007,2019/4/21 18:27,@ScottWarner18 __ __,1,Brandon_Davies0,No comments
32,1.12E+18,2586417115,2019/4/21 0:58,RT @i_Gets_craze: Brandon Rush__ in game commentary as a COACH is hilarious ________,0,BRush_25,No comments
33,1.12E+18,40779444,2019/4/24 15:55,RT @RexChapman: Dame Lillard strolling into the 2nd round...__________ https://t.co/CmKAl813nR,0,bwood_33,No comments
34,1.12E+18,1352533376,2019/4/24 4:25,Okc be having the craziest runs they were just down 9 now up two in a span of minutes,7,Quietstorm_32,@Quietstorm_32 Been like that since they came to okc. No lead is safe either way..
35,1.12E+18,152378469,2019/4/19 0:12,@kingkirk53 We didn__ win enough games I guess __,29,cambairstow41,@cambairstow41 @kingkirk53 Big Kirk!! You left early bro! You could have stayed and chose not to. Wish you would ha_ https://t.co/jzvYf2Zi0C
36,1.12E+18,760494572,2019/4/23 3:46,Let__ Goooooo @Bucks!!!!! Who__ Next?? LoL #Milwaukee414,19,CarlLandry,@CarlLandry @Bucks Boston
37,1.12E+18,42384760,2019/4/24 16:59,"Come  And Join Me In My Hometown Of Juneau, Alaska As I Hold My Annual Basketball Camp August 4th to August 9th..._ https://t.co/9SuuIuF67v",9,MisterCBooz,No comments
38,1.12E+18,146597870,2019/4/12 16:01,They've got next. Check out these 12 emerging leaders who are shaping the next generation of artists. Next up... Li_ https://t.co/PaxPA77pUc,295,carmeloanthony,No comments
39,1.12E+18,132708764,2019/4/24 19:50,Vote @RealDealBeal23 #BradleyBeal#NBACommunityAssistAward https://t.co/bMwtWFpC9Q,14,realtuffjuice,No comments
40,1.12E+18,272116860,2019/4/24 5:04,happens to the best of us,17959,ChandlerParsons,@ChandlerParsons _______________________¥ð_________________________________________
